factor_id,source_family,exact_formula,source_reference,required_columns,required_ops,compute_scope,timeframe_mapping,lookback,expected_direction,implementation_status,skip_reason
q158_cntp_30h,alpha158,"Mean($close>Ref($close,1),30)","Microsoft Qlib Alpha158DL rolling CNTP: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|rolling_mean",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars; Ref(1) needs 31 bars",31,positive,implemented_batch_17,
q158_cntn_30h,alpha158,"Mean($close<Ref($close,1),30)","Microsoft Qlib Alpha158DL rolling CNTN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|rolling_mean",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars; Ref(1) needs 31 bars",31,negative,implemented_batch_17,
q158_cntd_30h,alpha158,"Mean($close>Ref($close,1),30)-Mean($close<Ref($close,1),30)","Microsoft Qlib Alpha158DL rolling CNTD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|rolling_mean|sub",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars; Ref(1) needs 31 bars",31,positive,implemented_batch_17,
q158_sumd_30h,alpha158,"(Sum(Greater($close-Ref($close,1),0),30)-Sum(Greater(Ref($close,1)-$close,0),30))/(Sum(Abs($close-Ref($close,1)),30)+1e-12)","Microsoft Qlib Alpha158DL rolling SUMD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|delta|clip|rolling_sum|divide",single_symbol,"Alpha158 window=30 applied as 30 one-hour bars; Ref(1) needs 31 bars",31,positive,implemented_batch_17,
q158_cntd_20h,alpha158,"Mean($close>Ref($close,1),20)-Mean($close<Ref($close,1),20)","Microsoft Qlib Alpha158DL rolling CNTD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|rolling_mean|sub",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars; Ref(1) needs 21 bars",21,positive,implemented_batch_04,
q158_corr_20h,alpha158,"Corr($close,Log($volume+1),20)","Microsoft Qlib Alpha158DL rolling CORR: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close|volume","log|rolling_corr",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_04,
q158_cord_20h,alpha158,"Corr($close/Ref($close,1),Log($volume/Ref($volume,1)+1),20)","Microsoft Qlib Alpha158DL rolling CORD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close|volume","delay|divide|log|rolling_corr",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars; Ref(1) needs 21 bars",21,conditional,implemented_batch_04,
q158_sump_20h,alpha158,"Sum(Greater($close-Ref($close,1),0),20)/(Sum(Abs($close-Ref($close,1)),20)+1e-12)","Microsoft Qlib Alpha158DL rolling SUMP: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|delta|clip|rolling_sum|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars; Ref(1) needs 21 bars",21,positive,implemented_batch_05,
q158_sumn_20h,alpha158,"Sum(Greater(Ref($close,1)-$close,0),20)/(Sum(Abs($close-Ref($close,1)),20)+1e-12)","Microsoft Qlib Alpha158DL rolling SUMN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|delta|clip|rolling_sum|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars; Ref(1) needs 21 bars",21,negative,implemented_batch_05,
q158_vma_20h,alpha158,"Mean($volume,20)/($volume+1e-12)","Microsoft Qlib Alpha158DL rolling VMA: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","volume","rolling_mean|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_05,
q158_vstd_20h,alpha158,"Std($volume,20)/($volume+1e-12)","Microsoft Qlib Alpha158DL rolling VSTD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","volume","rolling_std|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars",20,conditional,implemented_batch_05,
q158_wvma_20h,alpha158,"Std(Abs($close/Ref($close,1)-1)*$volume,20)/(Mean(Abs($close/Ref($close,1)-1)*$volume,20)+1e-12)","Microsoft Qlib Alpha158DL rolling WVMA: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close|volume","delay|divide|abs|multiply|rolling_std|rolling_mean",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars; Ref(1) needs 21 bars",21,negative,implemented_batch_05,
q158_vsump_20h,alpha158,"Sum(Greater($volume-Ref($volume,1),0),20)/(Sum(Abs($volume-Ref($volume,1)),20)+1e-12)","Microsoft Qlib Alpha158DL rolling VSUMP: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","volume","delay|delta|clip|rolling_sum|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars; Ref(1) needs 21 bars",21,conditional,implemented_batch_05,
q158_vsumn_20h,alpha158,"Sum(Greater(Ref($volume,1)-$volume,0),20)/(Sum(Abs($volume-Ref($volume,1)),20)+1e-12)","Microsoft Qlib Alpha158DL rolling VSUMN: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","volume","delay|delta|clip|rolling_sum|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars; Ref(1) needs 21 bars",21,conditional,implemented_batch_05,
q158_vsumd_20h,alpha158,"(Sum(Greater($volume-Ref($volume,1),0),20)-Sum(Greater(Ref($volume,1)-$volume,0),20))/(Sum(Abs($volume-Ref($volume,1)),20)+1e-12)","Microsoft Qlib Alpha158DL rolling VSUMD: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","volume","delay|delta|clip|rolling_sum|divide",single_symbol,"Alpha158 window=20 applied as 20 one-hour bars; Ref(1) needs 21 bars",21,conditional,implemented_batch_05,
q158_kmid_open,alpha158,"($close-$open)/$open","Microsoft Qlib Alpha158DL kbar KMID: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|close","sub|divide",single_symbol,"daily Alpha158 kbar formula applied to 1h crypto bars",1,positive,implemented_batch_06,
q158_kmid_range,alpha158,"($close-$open)/($high-$low+1e-12)","Microsoft Qlib Alpha158DL kbar KMID2: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|high|low|close","sub|divide",single_symbol,"daily Alpha158 kbar formula applied to 1h crypto bars",1,positive,implemented_batch_06,
q158_kup_range,alpha158,"($high-Greater($open,$close))/($high-$low+1e-12)","Microsoft Qlib Alpha158DL kbar KUP2: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|high|low|close","row_max|sub|divide",single_symbol,"daily Alpha158 kbar formula applied to 1h crypto bars",1,negative,implemented_batch_06,
q158_klow_range,alpha158,"(Less($open,$close)-$low)/($high-$low+1e-12)","Microsoft Qlib Alpha158DL kbar KLOW2: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|high|low|close","row_min|sub|divide",single_symbol,"daily Alpha158 kbar formula applied to 1h crypto bars",1,positive,implemented_batch_06,
q158_open_close_0h,alpha158,"$open/$close","Microsoft Qlib Alpha158DL price OPEN0: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|close","divide",single_symbol,"Alpha158 price window 0 applied to current 1h crypto bar",1,conditional,implemented_batch_06,
q158_high_close_0h,alpha158,"$high/$close","Microsoft Qlib Alpha158DL price HIGH0: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","divide",single_symbol,"Alpha158 price window 0 applied to current 1h crypto bar",1,conditional,implemented_batch_07,
q158_low_close_0h,alpha158,"$low/$close","Microsoft Qlib Alpha158DL price LOW0: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","divide",single_symbol,"Alpha158 price window 0 applied to current 1h crypto bar",1,conditional,implemented_batch_07,
q158_open_close_1h,alpha158,"Ref($open,1)/$close","Microsoft Qlib Alpha158DL price OPEN1: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|close","delay|divide",single_symbol,"Alpha158 price window 1 applied as previous 1h bar divided by current close; Ref(1) needs 2 bars",2,conditional,implemented_batch_07,
q158_high_close_1h,alpha158,"Ref($high,1)/$close","Microsoft Qlib Alpha158DL price HIGH1: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","delay|divide",single_symbol,"Alpha158 price window 1 applied as previous 1h bar divided by current close; Ref(1) needs 2 bars",2,conditional,implemented_batch_07,
q158_low_close_1h,alpha158,"Ref($low,1)/$close","Microsoft Qlib Alpha158DL price LOW1: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","delay|divide",single_symbol,"Alpha158 price window 1 applied as previous 1h bar divided by current close; Ref(1) needs 2 bars",2,conditional,implemented_batch_07,
q158_open_close_2h,alpha158,"Ref($open,2)/$close","Microsoft Qlib Alpha158DL price OPEN2: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|close","delay|divide",single_symbol,"Alpha158 price window 2 applied as two-hour lagged bar divided by current close; Ref(2) needs 3 bars",3,conditional,implemented_batch_08,
q158_high_close_2h,alpha158,"Ref($high,2)/$close","Microsoft Qlib Alpha158DL price HIGH2: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","delay|divide",single_symbol,"Alpha158 price window 2 applied as two-hour lagged bar divided by current close; Ref(2) needs 3 bars",3,conditional,implemented_batch_08,
q158_low_close_2h,alpha158,"Ref($low,2)/$close","Microsoft Qlib Alpha158DL price LOW2: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","delay|divide",single_symbol,"Alpha158 price window 2 applied as two-hour lagged bar divided by current close; Ref(2) needs 3 bars",3,conditional,implemented_batch_08,
q158_open_close_3h,alpha158,"Ref($open,3)/$close","Microsoft Qlib Alpha158DL price OPEN3: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|close","delay|divide",single_symbol,"Alpha158 price window 3 applied as three-hour lagged bar divided by current close; Ref(3) needs 4 bars",4,conditional,implemented_batch_08,
q158_high_close_3h,alpha158,"Ref($high,3)/$close","Microsoft Qlib Alpha158DL price HIGH3: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","delay|divide",single_symbol,"Alpha158 price window 3 applied as three-hour lagged bar divided by current close; Ref(3) needs 4 bars",4,conditional,implemented_batch_08,
q158_low_close_3h,alpha158,"Ref($low,3)/$close","Microsoft Qlib Alpha158DL price LOW3: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","delay|divide",single_symbol,"Alpha158 price window 3 applied as three-hour lagged bar divided by current close; Ref(3) needs 4 bars",4,conditional,implemented_batch_08,
q158_open_close_4h,alpha158,"Ref($open,4)/$close","Microsoft Qlib Alpha158DL price OPEN4: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","open|close","delay|divide",single_symbol,"Alpha158 price window 4 applied as four-hour lagged bar divided by current close; Ref(4) needs 5 bars",5,conditional,implemented_batch_10,
q158_high_close_4h,alpha158,"Ref($high,4)/$close","Microsoft Qlib Alpha158DL price HIGH4: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","high|close","delay|divide",single_symbol,"Alpha158 price window 4 applied as four-hour lagged bar divided by current close; Ref(4) needs 5 bars",5,conditional,implemented_batch_10,
q158_low_close_4h,alpha158,"Ref($low,4)/$close","Microsoft Qlib Alpha158DL price LOW4: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","low|close","delay|divide",single_symbol,"Alpha158 price window 4 applied as four-hour lagged bar divided by current close; Ref(4) needs 5 bars",5,conditional,implemented_batch_10,
q158_close_close_4h,alpha158,"Ref($close,4)/$close","Microsoft Qlib Alpha158DL price CLOSE4: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|divide",single_symbol,"Alpha158 price window 4 applied as four-hour lagged close divided by current close; Ref(4) needs 5 bars",5,conditional,implemented_batch_10,
q158_volume_ratio_1h,alpha158,"Ref($volume,1)/($volume+1e-12)","Microsoft Qlib Alpha158DL volume VOLUME1: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","volume","delay|divide",single_symbol,"Alpha158 volume window 1 applied as previous 1h volume divided by current volume; Ref(1) needs 2 bars",2,conditional,implemented_batch_09,
q158_volume_ratio_2h,alpha158,"Ref($volume,2)/($volume+1e-12)","Microsoft Qlib Alpha158DL volume VOLUME2: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","volume","delay|divide",single_symbol,"Alpha158 volume window 2 applied as two-hour lagged volume divided by current volume; Ref(2) needs 3 bars",3,conditional,implemented_batch_09,
q158_volume_ratio_3h,alpha158,"Ref($volume,3)/($volume+1e-12)","Microsoft Qlib Alpha158DL volume VOLUME3: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","volume","delay|divide",single_symbol,"Alpha158 volume window 3 applied as three-hour lagged volume divided by current volume; Ref(3) needs 4 bars",4,conditional,implemented_batch_09,
q158_volume_ratio_4h,alpha158,"Ref($volume,4)/($volume+1e-12)","Microsoft Qlib Alpha158DL volume VOLUME4: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","volume","delay|divide",single_symbol,"Alpha158 volume window 4 applied as four-hour lagged volume divided by current volume; Ref(4) needs 5 bars",5,conditional,implemented_batch_09,
q158_roc_5h_skipped,alpha158,"Ref($close,5)/$close","Microsoft Qlib Alpha158DL rolling ROC: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|divide",single_symbol,"Alpha158 window=5 candidate reviewed against existing 1h crypto registry",6,conditional,skipped_duplicate_20260627,"Skipped: duplicates existing mom_5h horizon coverage; do not add a parallel public factor alias."
q158_roc_10h_skipped,alpha158,"Ref($close,10)/$close","Microsoft Qlib Alpha158DL rolling ROC: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|divide",single_symbol,"Alpha158 window=10 candidate reviewed against existing 1h crypto registry",11,conditional,skipped_duplicate_20260627,"Skipped: duplicates existing mom_10h horizon coverage; do not add a parallel public factor alias."
q158_roc_72h_skipped,alpha158,"Ref($close,72)/$close","Microsoft Qlib Alpha158DL rolling ROC: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|divide",single_symbol,"Alpha158 window=72 candidate reviewed against existing 1h crypto registry",73,conditional,skipped_duplicate_20260627,"Skipped: duplicates existing mom_72h horizon coverage; do not add a parallel public factor alias."
q158_roc_120h_skipped,alpha158,"Ref($close,120)/$close","Microsoft Qlib Alpha158DL rolling ROC: https://github.com/microsoft/qlib/blob/main/qlib/contrib/data/loader.py","close","delay|divide",single_symbol,"Alpha158 window=120 candidate reviewed against existing 1h crypto registry",121,conditional,skipped_duplicate_20260627,"Skipped: duplicates existing mom_120h horizon coverage; do not add a parallel public factor alias."
q158_ksft_20h_skipped,alpha158,"Skew($close/Ref($close,1)-1,20)","Microsoft Qlib Alpha158DL rolling KSFT-style skewness; local duplicate assessment documented in docs/factor_library/audits/pm08_factor_candidate_source_map.md","close","delay|divide|sub|rolling_skew",single_symbol,"Alpha158 rolling skewness over 20 one-hour bars; return input needs 21 bars",21,conditional,skipped_duplicate_20260627,"Skipped: duplicates existing realized_skew_20h construction; 5h skew variant is already implemented separately as ksft_5h."
q158_volume_xs_rank_skipped,alpha158,"Rank($volume) cross-sectionally per timestamp","Local Alpha158-adjacent volume rank candidate from docs/factor_library/audits/pm08_factor_candidate_source_map.md","volume","xs_rank",panel,"Cross-sectional volume rank candidate reviewed against existing panel registry support",20,conditional,skipped_duplicate_20260627,"Skipped: duplicates existing xs_rank_vol cross-sectional volume rank support; do not add a parallel public factor alias."
wq101_alpha58_indneutralize_skipped,alpha101,"-Ts_Rank(decay_linear(correlation(IndNeutralize(vwap,IndClass.sector),volume,3.92795),7.89291),5.50322)","WorldQuant 101 Alpha#58 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#58 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","vwap|volume|sector","indneutralize|rolling_corr|decay_linear|ts_rank",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because sector neutralization taxonomy is unavailable",16,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.sector neutralization; crypto universe has no approved sector taxonomy or reusable neutralization operator."
wq101_alpha59_indneutralize_skipped,alpha101,"-Ts_Rank(decay_linear(correlation(IndNeutralize(vwap,IndClass.industry),volume,4.25197),16.2289),8.19648)","WorldQuant 101 Alpha#59 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#59 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","vwap|volume|industry","indneutralize|rolling_corr|decay_linear|ts_rank",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because industry neutralization taxonomy is unavailable",29,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.industry neutralization; crypto universe has no approved industry taxonomy or reusable neutralization operator."
wq101_alpha67_indneutralize_skipped,alpha101,"-((rank($high-ts_min($high,2.14593))^rank(correlation(IndNeutralize(vwap,IndClass.sector),IndNeutralize(adv20,IndClass.subindustry),6.02936))))","WorldQuant 101 Alpha#67 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#67 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","high|vwap|volume|sector|subindustry","rolling_min|indneutralize|rolling_mean|rolling_corr|rank|power|multiply",panel,"Daily equity formula reviewed for 1h crypto panel; adv20 maps to rolling mean volume but sector/subindustry neutralization is unavailable",26,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires both IndClass.sector and IndClass.subindustry neutralization; no approved crypto taxonomy exists."
wq101_alpha69_indneutralize_skipped,alpha101,"-((rank(ts_max(delta(IndNeutralize(vwap,IndClass.industry),2.72412),4.79344))^Ts_Rank(correlation((0.490655*$close+(1-0.490655)*vwap),adv20,4.92416),9.0615)))","WorldQuant 101 Alpha#69 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#69 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","close|vwap|volume|industry","indneutralize|delta|rolling_max|rolling_mean|rolling_corr|rank|ts_rank|power|multiply",panel,"Daily equity formula reviewed for 1h crypto panel; adv20 maps to rolling mean volume but industry neutralization is unavailable",33,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.industry neutralization; do not approximate with ad hoc crypto buckets."
wq101_alpha70_indneutralize_skipped,alpha101,"-((rank(delta(vwap,1.29456))^Ts_Rank(correlation(IndNeutralize($close,IndClass.industry),adv50,17.8256),17.9171)))","WorldQuant 101 Alpha#70 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#70 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","close|vwap|volume|industry","delta|indneutralize|rolling_mean|rolling_corr|rank|ts_rank|power|multiply",panel,"Daily equity formula reviewed for 1h crypto panel; adv50 maps to rolling mean volume but industry neutralization is unavailable",84,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.industry neutralization; no approved crypto industry taxonomy exists."
wq101_alpha93_indneutralize_skipped,alpha101,"Ts_Rank(decay_linear(correlation(IndNeutralize(vwap,IndClass.industry),adv81,17.4193),19.848),7.54455)/rank(decay_linear(delta((0.524434*$close+(1-0.524434)*vwap),2.77377),16.2664))","WorldQuant 101 Alpha#93 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#93 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","close|vwap|volume|industry","indneutralize|rolling_mean|rolling_corr|decay_linear|ts_rank|delta|rank|divide",panel,"Daily equity formula reviewed for 1h crypto panel; adv81 maps to rolling mean volume but industry neutralization is unavailable",124,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.industry neutralization; no approved crypto industry taxonomy exists."
wq101_alpha48_indneutralize_skipped,alpha101,"IndNeutralize(correlation(delta($close,1),delta(delay($close,1),1),250)*delta($close,1)/$close,IndClass.subindustry)/sum((delta($close,1)/delay($close,1))^2,250)","WorldQuant 101 Alpha#48 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#48 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","close|subindustry","indneutralize|rolling_corr|delta|delay|rolling_sum|divide|power",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because subindustry neutralization taxonomy is unavailable",251,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.subindustry neutralization; no approved crypto subindustry taxonomy or reusable neutralization operator."
wq101_alpha56_cap_skipped,alpha101,"rank($open-ts_min($open,12))<rank(rank(correlation(sum((($high+$low)/2),19),sum(adv40,19),13))^5); original WQ101 Alpha#56 also uses cap in public DolphinDB implementation","WorldQuant 101 Alpha#56 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#56 as requiring cap information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","open|high|low|volume|cap","rolling_min|rolling_mean|rolling_sum|rolling_corr|xs_rank|power|compare",panel,"Daily equity formula reviewed for 1h crypto panel; blocked until market-cap contract coverage passes",81,conditional,skipped_missing_market_cap_20260628,"Skipped: requires point-in-time market cap input; crypto_market_cap_1h_contract_v1 artifact exists but currently fails the contract coverage gate at 89.0% overall coverage."
wq101_alpha63_indneutralize_skipped,alpha101,"((rank(decay_linear(delta(IndNeutralize($close,IndClass.industry),2.25164),8.22237))-rank(decay_linear(correlation((0.318108*$open+(1-0.318108)*$high),sum(adv180,37.2467),13.557),12.2883)))*-1)","WorldQuant 101 Alpha#63 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#63 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","open|high|close|volume|industry","indneutralize|delta|rolling_mean|rolling_sum|rolling_corr|decay_linear|xs_rank|sub|multiply",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because industry neutralization taxonomy is unavailable",242,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.industry neutralization; no approved crypto industry taxonomy exists."
wq101_alpha76_indneutralize_skipped,alpha101,"max(rank(decay_linear(delta(vwap,1.24383),11.8259)),Ts_Rank(decay_linear(Ts_Rank(correlation(IndNeutralize($low,IndClass.sector),adv81,8.14941),19.569),17.1543),19.383))*-1","WorldQuant 101 Alpha#76 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#76 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","low|vwap|volume|sector","indneutralize|rolling_mean|rolling_corr|ts_rank|decay_linear|delta|xs_rank|row_max|multiply",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because sector neutralization taxonomy is unavailable",126,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.sector neutralization; no approved crypto sector taxonomy exists."
wq101_alpha79_indneutralize_skipped,alpha101,"rank(delta(IndNeutralize((($close*0.60733)+($open*(1-0.60733))),IndClass.sector),1.23438))<rank(correlation(Ts_Rank(vwap,3.60973),Ts_Rank(adv150,9.18637),14.6644))","WorldQuant 101 Alpha#79 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#79 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","open|close|vwap|volume|sector","indneutralize|delta|rolling_mean|ts_rank|rolling_corr|xs_rank|compare",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because sector neutralization taxonomy is unavailable",173,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.sector neutralization; no approved crypto sector taxonomy exists."
wq101_alpha80_indneutralize_skipped,alpha101,"((rank(Sign(delta(IndNeutralize((($open*0.868128)+($high*(1-0.868128))),IndClass.industry),4.04545)))^Ts_Rank(correlation($high,adv10,5.11456),5.53756))*-1)","WorldQuant 101 Alpha#80 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#80 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","open|high|volume|industry","indneutralize|delta|sign|rolling_mean|rolling_corr|ts_rank|xs_rank|power|multiply",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because industry neutralization taxonomy is unavailable",20,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.industry neutralization; no approved crypto industry taxonomy exists."
wq101_alpha82_indneutralize_skipped,alpha101,"min(rank(decay_linear(delta($open,1.46063),14.8717)),Ts_Rank(decay_linear(correlation(IndNeutralize($volume,IndClass.sector),(($open*0.634196)+($open*(1-0.634196))),17.4842),6.92131),13.4283))*-1","WorldQuant 101 Alpha#82 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#82 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","open|volume|sector","indneutralize|delta|rolling_corr|decay_linear|ts_rank|xs_rank|row_min|multiply",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because sector neutralization taxonomy is unavailable",37,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.sector neutralization; no approved crypto sector taxonomy exists."
wq101_alpha87_indneutralize_skipped,alpha101,"max(rank(decay_linear(delta((($close*0.369701)+(vwap*(1-0.369701))),1.91233),2.65461)),Ts_Rank(decay_linear(abs(correlation(IndNeutralize(adv81,IndClass.industry),$close,13.4132)),4.89768),14.4535))*-1","WorldQuant 101 Alpha#87 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#87 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","close|vwap|volume|industry","indneutralize|rolling_mean|rolling_corr|abs|delta|decay_linear|ts_rank|xs_rank|row_max|multiply",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because industry neutralization taxonomy is unavailable",114,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.industry neutralization; no approved crypto industry taxonomy exists."
wq101_alpha89_indneutralize_skipped,alpha101,"Ts_Rank(decay_linear(correlation((($low*0.967285)+($low*(1-0.967285))),adv10,6.94279),5.51607),3.79744)-Ts_Rank(decay_linear(delta(IndNeutralize(vwap,IndClass.industry),3.48158),10.1466),15.3012)","WorldQuant 101 Alpha#89 in Kakushadze 101 Formulaic Alphas: https://arxiv.org/pdf/1601.00991; DolphinDB WQ101 tutorial classifies Alpha#89 as requiring industry information: https://docs.dolphindb.com/en/Tutorials/wq101alpha.html","low|vwap|volume|industry","indneutralize|rolling_mean|rolling_corr|decay_linear|ts_rank|delta|sub",panel,"Daily equity formula reviewed for 1h crypto panel; blocked because industry neutralization taxonomy is unavailable",29,conditional,skipped_missing_industry_neutralization_20260627,"Skipped: requires IndClass.industry neutralization; no approved crypto industry taxonomy exists."
